FoundTrace,Project,OwnerKind,OwnerName,Pod,Label/Annotation/InitContainerImage
LABEL,instana-agent,-,-,-,kubernetes.io/metadata.name:instana-agent
LABEL,instana-autotrace-webhook,-,-,-,kubernetes.io/metadata.name:instana-autotrace-webhook
LABEL,cpd-instance,Job,diagnostics-cronjob-28729070,diagnostics-cronjob-28729070-sh7sn,instana-autotrace-applied:true
LABEL,cpd-instance,Job,diagnostics-cronjob-28729070,diagnostics-cronjob-28729070-sh7sn,instana-autotrace-transformation:DefaultPodTransformation
LABEL,cpd-instance,Job,diagnostics-cronjob-28729070,diagnostics-cronjob-28729070-sh7sn,instana-autotrace-version:1.279.1
LABEL,cpd-instance,Job,env-spec-sync-job-28729070,env-spec-sync-job-28729070-tm4hh,instana-autotrace-applied:true
LABEL,cpd-instance,Job,env-spec-sync-job-28729070,env-spec-sync-job-28729070-tm4hh,instana-autotrace-transformation:DefaultPodTransformation
LABEL,cpd-instance,Job,env-spec-sync-job-28729070,env-spec-sync-job-28729070-tm4hh,instana-autotrace-version:1.279.1
LABEL,cpd-instance,Job,watchdog-alert-monitoring-cronjob-28729070,watchdog-alert-monitoring-cronjob-28729070-6qzld,instana-autotrace-applied:true
LABEL,cpd-instance,Job,watchdog-alert-monitoring-cronjob-28729070,watchdog-alert-monitoring-cronjob-28729070-6qzld,instana-autotrace-transformation:DefaultPodTransformation
LABEL,cpd-instance,Job,watchdog-alert-monitoring-cronjob-28729070,watchdog-alert-monitoring-cronjob-28729070-6qzld,instana-autotrace-version:1.279.1
LABEL,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729068,zen-remote-svc-inst-status-cron-job-28729068-nd4hj,instana-autotrace-applied:true
LABEL,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729068,zen-remote-svc-inst-status-cron-job-28729068-nd4hj,instana-autotrace-transformation:DefaultPodTransformation
LABEL,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729068,zen-remote-svc-inst-status-cron-job-28729068-nd4hj,instana-autotrace-version:1.279.1
LABEL,cpd-instance,Job,zen-svc-inst-status-cron-job-28729072,zen-svc-inst-status-cron-job-28729072-sbjjk,instana-autotrace-applied:true
LABEL,cpd-instance,Job,zen-svc-inst-status-cron-job-28729072,zen-svc-inst-status-cron-job-28729072-sbjjk,instana-autotrace-transformation:DefaultPodTransformation
LABEL,cpd-instance,Job,zen-svc-inst-status-cron-job-28729072,zen-svc-inst-status-cron-job-28729072-sbjjk,instana-autotrace-version:1.279.1
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-76zbb,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-76zbb,app.kubernetes.io/name:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-76zbb,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-76zbb,instana/agent-mode:APM
ANNOTATION,instana-agent,DaemonSet,instana-agent,instana-agent-76zbb,instana-configuration-hash:70c6df6d7c1a99a22ee74d59fa7f300fe6432573
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-7kdrm,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-7kdrm,app.kubernetes.io/name:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-7kdrm,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-7kdrm,instana/agent-mode:APM
ANNOTATION,instana-agent,DaemonSet,instana-agent,instana-agent-7kdrm,instana-configuration-hash:70c6df6d7c1a99a22ee74d59fa7f300fe6432573
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-vzsrt,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-vzsrt,app.kubernetes.io/name:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-vzsrt,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-vzsrt,instana/agent-mode:APM
ANNOTATION,instana-agent,DaemonSet,instana-agent,instana-agent-vzsrt,instana-configuration-hash:70c6df6d7c1a99a22ee74d59fa7f300fe6432573
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-z8w8h,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-z8w8h,app.kubernetes.io/name:instana-agent
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-z8w8h,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,DaemonSet,instana-agent,instana-agent-z8w8h,instana/agent-mode:APM
ANNOTATION,instana-agent,DaemonSet,instana-agent,instana-agent-z8w8h,instana-configuration-hash:70c6df6d7c1a99a22ee74d59fa7f300fe6432573
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-5gdxh,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-5gdxh,app.kubernetes.io/name:instana-agent-k8s-sensor
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-5gdxh,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-5gdxh,instana/agent-mode:KUBERNETES
ANNOTATION,instana-agent,Deployment,k8sensor,k8sensor-7978894499-5gdxh,instana-configuration-hash:da39a3ee5e6b4b0d3255bfef95601890afd80709
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-h8hqr,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-h8hqr,app.kubernetes.io/name:instana-agent-k8s-sensor
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-h8hqr,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-h8hqr,instana/agent-mode:KUBERNETES
ANNOTATION,instana-agent,Deployment,k8sensor,k8sensor-7978894499-h8hqr,instana-configuration-hash:da39a3ee5e6b4b0d3255bfef95601890afd80709
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-pg7sr,app.kubernetes.io/instance:instana-agent
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-pg7sr,app.kubernetes.io/name:instana-agent-k8s-sensor
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-pg7sr,helm.sh/chart:instana-agent-1.2.73
LABEL,instana-agent,Deployment,k8sensor,k8sensor-7978894499-pg7sr,instana/agent-mode:KUBERNETES
ANNOTATION,instana-agent,Deployment,k8sensor,k8sensor-7978894499-pg7sr,instana-configuration-hash:da39a3ee5e6b4b0d3255bfef95601890afd80709
LABEL,instana-autotrace-webhook,Deployment,instana-autotrace-webhook,instana-autotrace-webhook-9bd7486-vcqsl,app.kubernetes.io/instance:instana-autotrace-webhook
LABEL,instana-autotrace-webhook,Deployment,instana-autotrace-webhook,instana-autotrace-webhook-9bd7486-vcqsl,app.kubernetes.io/name:instana-autotrace-webhook
LABEL,instana-autotrace-webhook,Deployment,instana-autotrace-webhook,instana-autotrace-webhook-9bd7486-vcqsl,helm.sh/chart:instana-autotrace-webhook-1.279.1
LABEL,instana-autotrace-webhook,Deployment,instana-autotrace-webhook,instana-autotrace-webhook-9bd7486-vcqsl,instana-autotrace-ignore:true
INIT-CONTAINER,cpd-instance,Job,diagnostics-cronjob-28729080,diagnostics-cronjob-28729080-nf9cf,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,env-spec-sync-job-28729085,env-spec-sync-job-28729085-c5nhr,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-kernel-cleanup-cron-28729080,spark-hb-kernel-cleanup-cron-28729080-c72sc,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-2lh9w,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-48sh5,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-4ctzs,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-4rdp4,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-5bt47,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-5vthm,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-6cd6n,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-74s7d,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-7m78l,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-7rxwk,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-85pnw,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-99sn2,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-9wwfw,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-gfng4,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-hkrt6,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-l57cv,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-mf7th,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-q2vk6,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-sr2tb,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,spark-hb-preload-jkg-image-28729080,spark-hb-preload-jkg-image-28729080-wsww7,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,watchdog-alert-monitoring-cronjob-28729080,watchdog-alert-monitoring-cronjob-28729080-4nhfh,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Deployment,wkc-glossary-service,wkc-glossary-service-5cbf899c75-mbwp8,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,wkc-glossary-service-sync-cronjob-28729081,wkc-glossary-service-sync-cronjob-28729081-hwm4h,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729074,zen-remote-svc-inst-status-cron-job-28729074-2gwcs,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729080,zen-remote-svc-inst-status-cron-job-28729080-2mhdw,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,zen-remote-svc-inst-status-cron-job-28729086,zen-remote-svc-inst-status-cron-job-28729086-gkpvh,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,zen-svc-inst-status-cron-job-28729080,zen-svc-inst-status-cron-job-28729080-5tx69,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
INIT-CONTAINER,cpd-instance,Job,zen-svc-inst-status-cron-job-28729084,zen-svc-inst-status-cron-job-28729084-kxqtc,icr.io/instana/instrumentation@sha256:0fb07fca994a3f7377184334c2f53d33cf15d85138e2e3a25e1eed7fedb6836d
